f1y01,f1y02,f1y03,f1y04,f1y05,f1y06,f1y07,f1y08,f1y09,f1y10
7.696,7.956,7.988,8.684,8.32,8.076,7.728,7.988,8.016,8.02
7.752,7.984,8.04,8.764,7.832,8.092,7.716,7.976,8.168,8.012
7.74,8.016,7.98,8.808,8.124,8.196,7.732,8.104,8.208,8
7.84,7.98,7.916,8.832,8.648,8.168,7.768,8.184,8.128,7.996
7.904,7.976,7.992,8.84,8.488,8.1,7.74,8.012,8.08,8.008
7.928,7.98,8.044,8.932,7.984,8.068,7.748,7.972,8.136,7.984
7.908,8,8.004,9.052,8.04,8.148,7.728,8.072,8.288,7.996
7.9,7.98,7.896,9.04,8.604,8.172,7.744,8.192,8.18,8.012
7.932,7.956,7.976,9.028,8.656,8.096,7.76,8.048,8.06,7.996
7.92,7.972,8.092,9.152,8.152,8.072,7.756,7.956,8.076,8.012
7.888,7.992,8.024,9.276,7.992,8.164,7.732,8.024,8.136,7.996
7.904,8.02,7.884,9.272,8.608,8.184,7.776,8.16,8.008,8.016
7.96,7.98,7.928,9.268,8.82,8.092,7.752,8.076,8.144,8.028
7.968,7.964,7.988,9.38,8.304,8.064,7.72,7.976,8.176,8.068
7.948,8.004,8.14,9.456,7.98,8.112,7.756,8.036,8.116,8.06
7.932,8.02,8.404,9.476,8.616,8.16,7.768,8.152,8.104,8.068
7.944,7.964,8.868,9.42,8.972,8.136,7.744,8.096,7.896,8.108
8,7.96,9.596,9.496,8.5,8.088,7.736,7.968,7.988,8.1
7.964,8.004,10.388,9.536,8.056,8.128,7.756,8.028,8.196,8.064
7.968,8.028,10.992,9.556,8.664,8.18,7.768,8.132,8.18,8.104
7.976,7.976,10.388,9.48,9.12,8.156,7.76,8.132,8.036,8.172
8.024,7.964,9.664,9.476,8.7,8.08,7.716,7.992,7.964,8.22
8.02,8.012,9.248,9.492,8.26,8.1,7.736,7.996,8.08,8.22
7.976,8.032,8.712,9.444,8.716,8.172,7.748,8.104,8.092,8.196
8,7.972,8.196,9.348,9.212,8.156,7.784,8.176,8.016,8.192
8.1,7.968,7.888,9.216,8.96,8.088,7.752,7.992,8.112,8.124
8.048,7.996,7.724,9.196,8.488,8.088,7.72,7.952,8.208,8.12
8.02,8.004,7.712,9.12,8.82,8.184,7.76,8.088,8.068,8.084
8.048,7.984,7.864,9.012,9.36,8.156,7.768,8.152,7.948,8.048
8.124,7.944,8.056,8.852,9.272,8.072,7.78,7.996,7.968,8.036
8.132,7.992,8.188,8.8,8.792,8.052,7.744,7.956,8.112,8.02
8.12,8.024,8.164,8.752,8.852,8.136,7.744,8.048,8.084,8.028
8.148,8.012,8.096,8.628,9.444,8.156,7.752,8.132,8.016,7.996
8.176,7.988,8.08,8.46,9.52,8.084,7.748,8.012,8.104,7.984
8.224,7.992,8.184,8.464,9.016,8.056,7.756,7.936,8.296,7.972
8.176,8.024,8.164,8.452,8.84,8.12,7.772,8.036,8.24,7.96
8.212,8.012,8.04,8.344,9.44,8.176,7.792,8.124,7.98,7.944
8.256,7.976,8.088,8.24,9.644,8.104,7.796,8.04,7.956,7.936
8.292,7.968,8.188,8.24,9.036,8.072,7.776,7.944,8.012,7.972
8.3,8.02,8.16,8.232,8.592,8.096,7.744,8.02,8.328,7.94
8.316,8.056,8.06,8.172,9.108,8.16,7.768,8.116,8.196,7.948
8.376,8.016,8.088,8.104,9.372,8.12,7.764,8.06,7.94,7.952
8.44,8.048,8.184,8.104,8.764,8.072,7.768,7.94,8.032,7.976
8.476,8.128,8.168,8.136,8.156,8.112,7.744,7.968,8.152,7.952
8.444,8.124,8.12,8.116,8.64,8.172,7.776,8.108,8.012,7.948
8.54,8.06,8.108,8.056,8.94,8.132,7.808,8.104,7.896,7.956
8.64,8.044,8.192,8.052,8.44,8.068,7.768,7.96,7.98,7.96
8.668,8.128,8.192,8.096,7.864,8.076,7.768,7.952,8.216,7.968
8.644,8.168,8.144,8.108,8.236,8.168,7.784,8.056,8.156,7.916
8.76,8.168,8.096,8.052,8.592,8.14,7.752,8.112,7.956,7.812
8.844,8.116,8.196,8.04,8.26,8.052,7.772,7.928,7.976,7.78
8.896,8.1,8.236,8.072,7.704,8.08,7.768,7.952,8.184,8.004
8.864,8.168,8.196,8.08,7.94,8.164,7.788,8.04,8.196,8.324
8.936,8.096,8.148,8.072,8.38,8.156,7.788,8.096,8.052,8.936
9,8.036,8.216,8.032,8.224,8.072,7.784,7.944,8.024,9.592
9.052,8.052,8.284,8.056,7.7,8.06,7.76,7.912,8.216,10.236
9.016,8.076,8.228,8.128,7.716,8.148,7.768,8,8.284,10.836
9.016,8.052,8.172,8.084,8.24,8.172,7.788,8.096,8.136,11.104
9.048,8.024,8.248,8.028,8.292,8.076,7.784,7.972,8.34,11.192
9.02,7.984,8.344,8.048,7.772,8.08,7.772,7.896,8.364,10.76
8.904,8.04,8.312,8.104,7.524,8.176,7.776,7.996,8.344,9.568
8.78,8,8.232,8.076,8.152,8.208,7.772,8.1,8.216,8.416
8.72,7.944,8.276,8.032,8.344,8.136,7.8,8.004,8.232,7.864
8.632,7.924,8.384,8.064,7.816,8.128,7.76,7.904,8.348,7.692
8.524,7.996,8.372,8.136,7.432,8.176,7.752,7.992,8.42,7.696
8.38,8.008,8.312,8.084,8.056,8.236,7.792,8.064,8.264,7.804
8.312,7.96,8.376,8.052,8.396,8.196,7.796,8.08,8.308,7.916
8.252,7.948,8.468,8.068,7.892,8.192,7.78,7.9,8.412,7.968
8.168,8,8.468,8.116,7.408,8.244,7.776,7.956,8.356,8.028
8.04,8.028,8.432,8.092,8.004,8.352,7.804,8.072,8.184,8.024
8.036,7.98,8.464,8.032,8.376,8.284,7.8,8.092,8.12,8.008
8.04,7.944,8.536,8.064,7.976,8.224,7.784,7.936,8.232,8.012
7.996,7.912,8.616,8.1,7.472,8.268,7.768,7.94,8.392,7.988
7.928,7.9,8.604,8.112,7.916,8.336,7.78,8.072,8.22,7.992
7.892,7.832,8.6,8.044,8.348,8.28,7.764,8.1,8.02,7.984
7.948,7.944,8.736,8.016,8.048,8.18,7.776,7.916,8.088,8.004
7.916,8.196,8.816,8.056,7.532,8.172,7.772,7.904,8.224,7.996
7.872,8.66,8.824,8.1,7.788,8.24,7.768,8.032,8.112,8
7.884,9.112,8.8,8.052,8.312,8.22,7.776,8.12,7.968,7.98
7.9,9.744,8.904,7.976,8.16,8.1,7.784,7.956,8.036,8.004
7.88,10.276,9.008,8.02,7.672,8.064,7.768,7.884,8.252,8.028
7.852,10.212,9,8.084,7.676,8.164,7.76,8.016,8.18,8.024
7.848,9.596,8.988,8.052,8.224,8.136,7.776,8.092,7.964,8.028
7.884,9.02,9.088,7.964,8.296,8.028,7.784,7.96,7.976,8.028
7.888,8.572,9.228,7.996,7.76,8.008,7.776,7.892,8.068,8.052
7.86,8.112,9.22,8.028,7.548,8.108,7.776,7.976,8.112,8.012
7.848,7.86,9.144,8.024,8.152,8.128,7.784,8.088,7.952,8.032
7.892,7.844,9.18,7.948,8.364,8.064,7.8,8.016,7.996,8.024
7.904,7.964,9.26,8,7.856,8.008,7.776,7.9,8.088,8.068
7.872,8.072,9.176,8.068,7.456,8.056,7.76,7.992,8.108,8.044
7.86,8.124,9.076,8.044,8.064,8.124,7.788,8.112,7.98,8.084
7.88,8.088,9.012,7.948,8.412,8.064,7.796,8.08,7.94,8.1
7.924,8.06,8.996,7.964,7.912,8.024,7.768,7.956,8.084,8.104
7.88,8.084,8.924,8.036,7.432,8.04,7.78,8.032,8.144,8.088
7.856,8.132,8.74,7.996,8.008,8.136,7.772,8.172,8.008,8.08
7.872,8.068,8.652,7.964,8.4,8.092,7.784,8.212,7.872,8.116
7.924,8.032,8.628,7.968,7.976,8.02,7.78,8.056,7.968,8.132
7.912,8.08,8.576,8,7.476,8.044,7.776,8.076,8.38,8.144
7.852,8.124,8.4,8.032,7.92,8.108,7.776,8.216,8.744,8.14
7.884,8.076,8.304,7.984,8.332,8.088,7.78,8.26,9.032,8.16
7.928,8.056,8.328,7.956,8.056,7.992,7.776,8.076,9.592,8.168
7.912,8.08,8.324,7.956,7.54,8.02,7.732,8.068,10.38,8.184
7.852,8.124,8.2,8.012,7.76,8.156,7.808,8.184,11.212,8.192
7.872,8.076,8.12,7.992,8.24,8.472,7.82,8.252,11.132,8.2
7.92,8.064,8.164,7.936,8.156,8.996,7.788,8.096,9.952,8.252
7.916,8.076,8.22,7.964,7.664,9.588,7.764,8.02,9.02,8.26
7.868,8.144,8.136,8.004,7.632,9.656,7.764,8.128,8.508,8.272
7.856,8.112,8.032,8.004,8.192,9.404,7.796,8.216,8.208,8.312
7.884,8.064,8.072,7.916,8.248,8.7,7.784,8.072,8.208,8.344
7.912,8.068,8.16,7.948,7.716,8.328,7.772,7.996,8.384,8.364
7.86,8.132,8.088,8.016,7.48,8.276,7.772,8.044,8.38,8.396
7.824,8.144,7.972,7.992,8.084,8.196,7.76,8.128,8.18,8.412
7.86,8.112,8.02,7.928,8.324,7.984,7.788,8.02,8.128,8.444
7.896,8.084,8.12,7.94,7.78,7.968,7.772,7.84,8.192,8.5
7.892,8.144,8.084,8.02,7.404,8.004,7.748,7.912,8.236,8.52
7.836,8.152,7.98,7.956,8.004,8.096,7.76,8.028,8.096,8.564
7.836,8.14,8.004,7.932,8.368,8.092,7.768,8.008,8.028,8.616
7.912,8.096,8.088,7.944,7.844,8.096,7.792,7.844,8.1,8.672
7.856,8.172,8.08,8.004,7.356,8.128,7.764,7.904,8.204,8.7
7.796,8.196,7.988,7.988,7.924,8.228,7.788,8.02,8.096,8.7
7.856,8.164,7.976,7.952,8.32,8.2,7.788,8.02,8.064,8.744
7.896,8.152,8.068,7.94,7.916,8.132,7.74,7.864,8.132,8.768
7.876,8.208,8.088,7.984,7.44,8.144,7.744,7.876,8.204,8.76
7.836,8.232,8.028,7.984,7.836,8.232,7.784,7.98,8.192,8.752
7.832,8.216,7.96,7.96,8.272,8.228,7.776,8.024,8.108,8.764
7.892,8.188,8.048,7.924,8.02,8.148,7.764,7.872,8.184,8.724
7.86,8.228,8.1,7.992,7.492,8.144,7.784,7.876,8.332,8.66
7.808,8.296,8.048,8.02,7.7,8.224,7.796,7.992,8.2,8.616
7.824,8.224,7.952,7.968,8.208,8.264,7.788,8.048,8.024,8.564
7.888,8.224,8.032,7.908,8.148,8.16,7.792,7.896,8.34,8.512
7.892,8.276,8.116,7.972,7.608,8.168,7.776,7.86,8.48,8.46
7.84,8.336,8.056,8.012,7.588,8.252,7.776,7.972,8.26,8.38
7.796,8.344,7.96,8.012,8.156,8.276,7.776,8.016,7.82,8.32
7.864,8.32,8.028,7.908,8.256,8.172,7.768,7.76,7.856,8.276
7.872,8.34,8.108,7.948,7.7,8.212,7.76,7.552,8.052,8.22
7.8,8.416,8.048,8.016,7.452,8.264,7.76,7.752,8.164,8.176
7.804,8.444,7.952,8.004,8.044,8.316,7.768,8.136,8.076,8.144
7.856,8.436,7.984,7.92,8.312,8.26,7.796,8.404,8.184,8.136
7.86,8.44,8.088,7.952,7.784,8.224,7.748,8.82,8.368,8.12
7.868,8.528,8.064,8,7.352,8.292,7.772,9.48,8.432,8.076
7.844,8.568,7.972,7.98,8,8.336,7.82,10.216,8.196,8.06
7.904,8.556,7.992,7.932,8.364,8.288,7.836,10.916,8.104,8.056
7.972,8.6,8.068,7.968,7.848,8.272,7.812,10.932,8.224,8.072
7.952,8.656,8.068,8,7.352,8.3,7.844,10.096,8.264,8.032
7.916,8.724,7.972,8.012,7.916,8.38,7.88,9.228,8.292,8.028
7.98,8.68,7.976,7.96,8.32,8.348,7.992,8.704,8.336,8.032
8.064,8.728,8.068,7.96,7.924,8.288,8.004,8.244,8.284,8.048
8.08,8.792,8.072,8.012,7.416,8.32,7.992,8.076,8.424,8.048
8,8.9,8.024,8.024,7.82,8.404,7.96,8.088,8.508,8.024
7.988,8.848,7.976,7.972,8.276,8.4,7.956,8.18,8.472,8.032
8.024,8.872,8.032,7.944,8.028,8.332,7.96,8.048,8.392,8.032
8.004,8.94,8.092,7.964,7.508,8.34,7.96,8.068,8.44,8.04
7.932,8.98,8.048,7.984,7.684,8.464,7.96,8.188,8.28,8.04
7.924,9.004,7.956,7.98,8.196,8.452,7.988,8.228,8.048,8.012
7.984,8.984,8.016,7.916,8.152,8.384,7.924,8.052,8.196,8.064
7.952,9.032,8.092,7.968,7.588,8.392,7.852,7.988,8.52,8.06
7.876,9.06,8.052,8.008,7.548,8.46,7.832,8.092,8.552,8.04
7.852,9.04,7.944,7.996,8.132,8.428,7.844,8.188,8.4,8.044
7.852,8.98,8.012,7.908,8.276,8.476,7.84,8.08,8.408,8.032
7.84,8.992,8.092,7.952,7.7,8.488,7.812,7.972,8.568,8.064
7.788,8.968,8.016,8.004,7.444,8.572,7.84,8.064,8.604,8.032
7.768,8.892,7.928,7.996,8.064,8.656,7.844,8.168,8.508,8.036
7.8,8.792,7.984,7.928,8.324,8.612,7.816,8.096,8.652,8.052
7.82,8.736,8.068,7.956,7.76,8.596,7.776,7.996,8.8,8.072
7.776,8.728,8.044,8.004,7.36,8.684,7.748,8.076,8.796,8.044
7.74,8.656,7.964,7.98,7.996,8.756,7.772,8.172,8.644,8.056
7.812,8.516,7.96,7.948,8.356,8.74,7.772,8.16,8.572,8.032
7.856,8.444,8.044,7.928,7.84,8.768,7.76,8.016,8.656,8.032
7.8,8.424,8.036,7.98,7.364,8.804,7.724,8.084,8.784,8.056
7.76,8.412,7.972,7.976,7.908,8.896,7.744,8.18,8.88,8.028
7.788,8.288,7.932,7.964,8.304,8.888,7.752,8.192,8.664,8.06
7.768,8.22,8.024,7.94,7.932,8.82,7.744,8.036,8.508,8.056
7.664,8.232,8.056,7.984,7.4,8.932,7.712,8.044,8.664,8.032
7.812,8.236,7.988,7.992,7.796,8.952,7.74,8.192,8.56,8.04
8.172,8.172,7.928,7.976,8.272,8.976,7.76,8.252,8.38,8.044
8.796,8.108,7.996,7.924,8.04,8.88,7.756,8.056,8.4,8.04
9.36,8.112,8.08,7.964,7.504,8.868,7.756,8.036,8.28,8.028
10.084,8.144,7.996,8.02,7.712,8.932,7.764,8.18,8.308,7.992
10.8,8.108,7.872,8,8.22,8.912,7.78,8.268,8.204,8.048
11.276,8.08,7.964,7.936,8.156,8.752,7.748,8.128,8.14,8.012
10.76,8.076,8.06,7.96,7.592,8.704,7.764,8.08,8.248,8.056
9.368,8.12,8,8,7.544,8.712,7.764,8.192,8.192,8.016
8.24,8.072,7.9,7.988,8.192,8.692,7.76,8.268,8.028,8.008
7.832,8.044,7.964,7.944,8.336,8.516,7.78,8.172,8.072,8.024
7.768,8.052,8.064,7.96,7.78,8.44,7.784,8.08,8.212,8.032
7.792,8.1,8.008,8.02,7.496,8.46,7.792,8.216,8.192,8.004
7.8,8.1,7.896,8,8.152,8.468,7.772,8.316,8.016,8.036
7.884,8.036,7.916,7.928,8.392,8.34,7.796,8.252,8.008,8.06
7.94,8.048,8.044,7.968,7.868,8.236,7.784,8.144,8.12,8.076
7.944,8.08,8.016,8.016,7.46,8.256,7.816,8.252,8.232,8.056
7.896,8.104,7.932,8.02,8.112,8.28,7.78,8.368,8.076,8.08
7.928,8.052,7.924,7.948,8.472,8.204,7.76,8.372,7.984,8.096
7.964,8.064,8.036,7.952,7.992,8.136,7.636,8.224,8.072,8.096
7.936,8.08,8,8.004,7.448,8.144,7.608,8.284,8.188,8.104
7.88,8.104,7.94,8.016,8.016,8.192,7.736,8.416,8.052,8.132
7.94,8.06,7.94,7.984,8.424,8.132,8.132,8.476,7.968,8.22
7.984,8.068,8.02,7.952,8.052,8.048,9.028,8.312,8.084,8.256
7.948,8.08,8.024,8,7.496,8.076,10.36,8.336,8.248,8.256
7.904,8.132,7.968,8.012,7.924,8.16,11.648,8.496,8.288,8.24
7.94,8.052,7.908,7.944,8.4,8.14,12.804,8.564,8.028,8.188
7.976,8.056,7.976,7.916,8.152,8.04,12.972,8.44,8.092,8.16
7.988,8.076,8.004,7.972,7.568,8.036,11.652,8.436,8.16,8.108
7.932,8.104,7.968,8.036,7.708,8.132,9.708,8.62,8.116,8.092
7.968,8.064,7.892,7.976,8.18,8.144,8.248,8.716,7.936,8.048
8.032,8.032,7.976,7.96,8.14,8.02,7.792,8.6,7.988,8.072
8.028,8.088,8.052,7.972,7.592,8,7.752,8.58,8.052,8.04
7.96,8.104,7.972,8.012,7.512,8.1,7.728,8.748,8.056,8.008
7.968,8.072,7.9,7.992,8.112,8.12,7.836,8.852,7.924,7.988
8.048,8.032,7.948,7.928,8.248,8.036,8,8.748,8.032,7.98
8.068,8.06,8.044,7.948,7.692,8.016,8.076,8.684,8.224,7.984
8.064,8.088,7.984,8.024,7.396,8.104,8.064,8.832,8.324,7.932
8.016,8.084,7.884,8,8.044,8.128,8.028,8.964,7.956,7.944
8.088,8.036,7.956,7.932,8.312,8.072,7.984,8.932,7.772,7.992
8.132,8.02,8.048,7.976,7.768,8.036,7.944,8.84,7.964,7.984
8.088,8.076,8.012,8.032,7.32,8.064,7.892,8.952,8.084,7.972
8.096,8.08,7.944,7.996,7.916,8.124,7.94,9.064,8.004,7.96
8.116,8.008,7.94,7.948,8.224,8.064,7.9,9.056,7.936,7.936
8.2,8.024,8.052,7.96,7.736,8.052,7.916,8.876,8.124,7.952
8.172,8.056,8.056,8.04,7.292,8.072,7.916,8.884,8.204,7.94
8.156,8.084,7.98,8.044,8.084,8.144,7.912,8.968,8.084,7.948
8.184,8.04,8.004,8.004,9.18,8.116,7.932,8.904,7.96,7.968
8.276,8.016,8.112,7.996,9.672,8.048,7.92,8.644,7.984,7.972
8.284,8.076,8.124,8.032,9.976,8.068,7.92,8.612,8.16,7.972
8.256,8.076,8.048,8.092,10.936,8.136,7.924,8.676,8.136,7.908
8.304,8.044,8.024,8.052,11.264,8.136,7.952,8.6,7.936,7.8
8.392,8.016,8.16,8.032,10.428,8.06,7.948,8.348,8.004,7.748
8.388,8.048,8.276,8.104,9.088,8.06,7.928,8.276,8.192,7.92
8.38,8.088,8.204,8.144,8.44,8.148,7.976,8.328,8.16,8.252
8.44,8.044,8.112,8.192,8.328,8.144,7.96,8.348,7.992,8.916
8.532,7.988,8.152,8.168,8,8.048,7.96,8.156,8.032,9.64
8.564,8.032,8.248,8.212,7.256,8.044,7.94,8.028,8.18,10.296
8.592,8.08,8.164,8.176,7.064,8.104,7.964,8.164,8.2,10.892
8.644,8.052,8.068,8.1,7.732,8.076,8.008,8.216,8.016,11.12
8.74,8.036,8.12,8.012,8.076,8.032,7.984,8.104,7.956,11.152
8.788,8.032,8.192,8.048,7.66,8.052,7.984,7.992,8.108,10.684
8.788,8.064,8.16,8.092,7.528,8.096,7.996,8.076,8.152,9.464
8.824,8.036,8.016,8.036,8.276,8.136,8.016,8.164,7.992,8.324
8.924,8,8.032,7.984,8.556,8.084,8.012,8.1,8.028,7.78
8.984,8.02,8.104,8.016,7.948,8.048,8.012,7.952,8.176,7.608
8.964,8.036,8.024,8.072,7.524,8.088,8.032,8.036,8.204,7.568
8.956,8.056,7.936,8.044,8.148,8.128,8.056,8.14,8.16,7.668
9.008,8.028,7.928,7.98,8.552,8.08,8.08,8.104,8.124,7.788
9.068,8,8.012,7.932,8.02,7.984,8.068,7.948,8.212,7.904
9.008,8.044,7.988,7.98,7.576,8.076,8.084,8.004,8.368,7.968
8.924,8.072,7.936,7.968,8.128,8.132,8.1,8.132,8.368,7.988
8.864,8.02,7.908,7.936,8.56,8.108,8.144,8.144,8.256,8
8.824,7.992,7.976,7.932,8.132,8.036,8.128,7.968,8.316,8.028
8.7,8.04,7.992,7.956,7.668,8.056,8.124,7.968,8.384,7.992
8.544,8.084,7.928,7.996,8.04,8.12,8.16,8.108,8.412,7.984
8.48,8.036,7.876,7.972,8.512,8.1,8.196,8.16,8.236,7.984
8.408,8.004,7.936,7.904,8.292,8.04,8.192,8.004,8.24,7.988
8.324,8.032,8,7.96,7.784,8.044,8.204,7.968,8.46,7.992
8.188,8.064,7.932,7.996,7.92,8.128,8.208,8.092,8.592,7.976
8.144,8.016,7.864,7.984,8.488,8.136,8.256,8.156,8.336,8.02
8.148,8.008,7.94,7.924,8.468,8.024,8.256,8.028,8.344,8.008
8.08,8.012,7.984,7.952,7.88,7.996,8.276,7.944,8.28,8.016
7.992,8.036,7.936,7.992,7.816,8.084,8.32,8.064,7.952,8.02
7.98,8.02,7.836,7.908,8.44,8.108,8.352,8.14,7.936,8.008
8,7.988,7.9,7.82,8.636,8.008,8.4,8.04,8.092,8.012
8.004,8.024,7.988,7.912,8.012,7.992,8.432,7.948,8.212,8.028
7.964,8.048,7.96,8.156,7.776,8.088,8.464,8.068,8.096,8.024
7.924,8.052,7.864,8.428,8.456,8.128,8.504,8.152,7.876,8.024
7.936,7.98,7.916,8.896,8.76,8.016,8.576,8.092,7.928,8.044
7.952,7.988,8.016,9.444,8.172,8.012,8.612,7.944,8.192,8.048
7.916,8.068,7.96,10.168,7.792,8.068,8.644,7.988,8.244,8.052
7.892,8.076,7.888,10.716,8.428,8.088,8.736,8.152,7.94,8.048
7.928,8.012,7.936,10.292,8.824,8.06,8.8,8.128,7.856,8.068
7.944,8,7.96,9.364,8.336,8.012,8.848,7.944,8.124,8.088
7.948,8.02,7.908,8.764,7.884,8.044,8.936,7.968,8.32,8.084
7.876,8.06,7.808,8.24,8.436,8.112,9.008,8.12,8.16,8.096
7.928,8,7.856,7.796,8.904,8.068,9.084,8.144,8,8.092
7.944,7.992,8.124,7.528,8.5,8.004,9.112,7.968,7.808,8.128
7.92,8.032,8.548,7.428,8.056,7.992,9.132,7.944,7.86,8.132
7.9,8.06,9.04,7.424,8.444,8.064,9.22,8.092,7.988,8.144
7.928,8.016,9.636,7.392,8.944,8.08,9.26,8.144,8.12,8.132
7.936,8.012,10.536,7.376,8.732,7.984,9.24,7.984,7.96,8.16
7.964,8.044,11.016,7.516,8.272,8.016,9.188,7.94,7.904,8.168
7.892,8.064,10.068,7.656,8.456,8.068,9.18,8.072,8.08,8.168
7.912,8.016,9.296,7.712,9.056,8.092,9.1,8.12,8.108,8.196
7.936,7.988,8.968,7.74,9.036,8.004,9,7.976,8.072,8.232
7.948,8.02,8.556,7.86,8.52,7.988,8.884,7.916,7.892,8.252
7.884,8.068,8.108,8.036,8.472,8.08,8.764,8.044,8.048,8.264
7.896,8.036,7.672,8.032,9.156,8.088,8.692,8.128,8.264,8.284
7.944,7.988,7.568,7.984,9.328,7.996,8.6,8.008,8.8,8.304
7.952,8.008,7.712,8.048,8.764,7.988,8.44,7.916,9.364,8.344
7.928,8.048,7.872,8.108,8.544,8.052,8.376,8.016,9.816,8.372
7.896,8.048,7.944,8.136,9.276,8.104,8.324,8.116,10.536,8.384
7.944,8,8.048,8.068,9.612,8.028,8.22,8.056,11.304,8.44
7.94,8,8.144,8.1,9.04,8.008,8.148,7.908,10.812,8.476
7.924,8.036,8.12,8.152,8.684,8.056,8.096,7.98,9.444,8.504
7.892,8.052,7.98,8.164,9.32,8.12,8.06,8.1,8.516,8.512
7.952,8.02,7.996,8.116,9.696,8.076,8.032,8.084,8.144,8.556
7.976,8.008,8.08,8.136,9.204,8.036,8.012,7.932,8.38,8.6
7.944,8.048,8.072,8.208,8.704,8.096,7.944,7.964,8.632,8.644
7.9,8.04,8.032,8.224,9.156,8.168,7.944,8.084,8.22,8.676
7.888,8.004,8.012,8.2,9.548,8.136,7.924,8.108,8.056,8.684
7.956,7.984,8.096,8.148,9.028,8.088,7.888,7.932,8.316,8.74
7.952,8.032,8.108,8.204,8.472,8.128,7.888,7.928,8.404,8.732
7.888,8.072,8.052,8.248,8.696,8.244,7.904,8.056,8.2,8.72
7.9,8.02,8,8.216,9.076,8.22,7.916,8.08,7.676,8.704
7.96,7.976,8.096,8.188,8.74,8.164,7.86,7.944,7.792,8.672
7.968,8.04,8.136,8.24,8.132,8.196,7.852,7.904,8.092,8.612
7.896,8.052,8.104,8.288,8.232,8.272,7.868,8.028,8.2,8.548
7.88,8.02,8.032,8.252,8.688,8.24,7.872,8.088,7.928,8.516
7.908,7.996,8.088,8.232,8.556,8.136,7.856,7.964,7.88,8.46
7.944,8.02,8.16,8.264,7.924,8.096,7.86,7.888,8.076,8.42
7.904,8.068,8.124,8.32,7.784,8.136,7.852,7.98,8.132,8.34
7.868,8.044,8.008,8.312,8.368,8.136,7.86,8.104,8.112,8.268
7.936,8.008,8.084,8.264,8.456,8.048,7.872,8.004,8.16,8.216
7.956,8.004,8.18,8.268,7.852,7.984,7.852,7.876,8.388,8.184
7.908,8.056,8.152,8.376,7.544,8.06,7.844,7.996,8.296,8.156
7.852,8.056,8.088,8.36,8.192,8.084,7.844,8.092,7.792,8.128
7.916,8.008,8.112,8.324,8.428,7.996,7.84,8.032,7.896,8.1
7.916,7.992,8.188,8.356,7.872,7.94,7.852,7.908,8.104,8.096
7.884,8.036,8.188,8.416,7.448,8,7.836,7.968,8.24,8.048
7.86,8.068,8.128,8.42,8.068,8.032,7.868,8.1,8.128,8.044
7.896,8.028,8.168,8.412,8.424,7.984,7.856,8.072,8.08,8.032
7.944,8.032,8.236,8.416,7.904,7.924,7.836,7.896,8.308,8.036
7.904,8.108,8.264,8.476,7.452,7.964,7.828,7.956,8.452,8.028
7.836,8.148,8.228,8.544,7.968,8.048,7.844,8.1,8.232,8.004
7.888,8.12,8.212,8.528,8.388,8.028,7.828,8.112,7.78,8.028
7.92,8.08,8.268,8.512,8.004,7.944,7.824,7.896,7.916,8.028
7.916,8.128,8.344,8.584,7.512,7.96,7.828,7.92,8.328,8.016
7.844,8.16,8.32,8.66,7.86,8.04,7.836,8.048,8.424,7.996
7.908,8.14,8.236,8.64,8.328,8.028,7.872,8.068,8.136,7.992
7.96,8.156,8.368,8.632,8.108,7.956,7.84,7.948,8.108,8.028
7.912,8.192,8.448,8.704,7.604,7.964,7.828,7.896,8.14,8.024
7.868,8.208,8.464,8.828,7.712,8.036,7.828,8.048,8.16,8.012
7.876,8.144,8.392,8.82,8.28,8.04,7.844,8.1,8.24,8.008
7.944,8.096,8.516,8.788,8.236,7.948,7.836,7.964,8.268,8.04
7.912,8.06,8.596,8.908,7.696,7.94,7.82,7.884,8.376,8.028
7.856,8.1,8.596,9.004,7.604,8.072,7.832,8.02,8.276,8.016
7.848,8.088,8.576,9.016,8.176,8.196,7.8,8.108,8.144,8.004
7.908,8.048,8.68,9.004,8.34,8.524,7.824,7.996,8.164,8.032
7.94,8.056,8.824,9.108,7.756,9.276,7.804,7.916,8.588,8.024
7.896,8.056,8.844,9.244,7.476,9.672,7.812,8.016,8.544,8.016
7.856,8.032,8.784,9.264,8.14,9.684,7.84,8.096,8.2,8.032
7.892,8,8.9,9.26,8.336,9.12,7.82,8.064,8.312,8.044
7.928,7.968,9.004,9.32,7.872,8.532,7.8,7.908,8.492,8.04
7.892,8.012,9.04,9.376,7.452,8.256,7.812,8.012,8.34,8.012
7.86,8.016,9.004,9.424,8.068,8.2,7.812,8.188,8.188,8.02
7.924,7.964,9.044,9.444,8.408,7.976,7.804,8.172,8.16,8.036
8,7.948,9.164,9.424,7.908,7.844,7.812,8.052,8.468,8.036
8.004,7.996,9.196,9.496,7.472,7.9,7.78,8.056,8.6,8.02
7.952,8.016,9.148,9.504,7.984,7.968,7.796,8.22,8.472,8.036
8.008,7.972,9.064,9.452,8.404,8.032,7.788,8.216,8.572,8.052
8.076,7.972,9.12,9.396,8.008,8.024,7.792,8.052,8.696,8.052
8.06,8.004,9.112,9.392,7.556,8.044,7.768,8.048,8.516,8.02
8.048,8.004,8.964,9.348,7.896,8.132,7.784,8.192,8.596,8.004
8.08,7.896,8.788,9.256,8.344,8.128,7.78,8.192,8.448,8.016
